orig,kr
獲得条件：フリークエスト「ヴェセラゴ討伐戦」をクリア,획득조건：프리 퀘스트 「베세라고 토벌전」을 클리어
掟破り,규칙깨기
獲得条件<br>「フォール・オブ・ドラゴン」貢献度******達成,획득조건<br>「폴 오브 드래곤」 공헌도 ****** 달성
獲得条件<br>「フォール・オブ・ドラゴン」貢献度*******達成,획득조건<br>「폴 오브 드래곤」 공헌도 ******* 달성
獲得条件<br>「フォール・オブ・ドラゴン」ストーリーを*話までクリア,획득조건<br>「폴 오브 드래곤」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト「吸血姫と覚醒の飛竜」をクリア,획득조건<br>챌린지 퀘스트 「흡혈공주와 각성의 비룡」을 클리어
獲得条件<br>ベスにごはんと竜の実を与えて成熟させる,획득조건<br>베스에게 밥과 용의 열매를 주고 성장시킨다
ヴェセラゴスレイヤー,베세라고 슬레이어
ヴェセラゴジェノサイダー,베세라고 제노사이더
獲得条件<br>「フォール・オブ・ドラゴン」のフリークエストでクレイゴーレムとヴェセラゴを合計*体討伐,획득조건<br>「폴 오브 드래곤」의 프리 퀘스트에서 클레이 골렘과<br>베세라고를 합계 *체 토벌
獲得条件<br>「フォール・オブ・ドラゴン」のフリークエストでクレイゴーレムとヴェセラゴを合計**体討伐,획득조건<br>「폴 오브 드래곤」의 프리 퀘스트에서 클레이 골렘과<br>베세라고를 합계 **체 토벌
獲得条件<br>「フォール・オブ・ドラゴン」のフリークエストでクレイゴーレムとヴェセラゴを合計***体討伐,획득조건<br>「폴 오브 드래곤」의 프리 퀘스트에서 클레이 골렘과<br>베세라고를 합계 ***체 토벌
獲得条件<br>フリークエスト「ヴェセラゴ討伐戦」をクリア,획득조건<br>프리 퀘스트 「베세라고 토벌전」을 클리어

よーし！　がんばって<br>いっぱいふるーつ、<br>あつめちゃうよーっ！,좋아！힘내서<br>과일을 잔뜩 모으자！
ベスちゃん……<br>くるしそう……,베스쨩……<br>괴로워보여……
ヴァンピィちゃん……<br>なんにも悪いことして<br>ないんだけどな……,밤피는……<br>나쁜짓은 아무것도<br>안했는데……
ヴァンピィちゃん、<br>頑張るから……<br>げんきぃだしてー……？,밤피가<br>열심히 할테니까……<br>기운차려……
ベスちゃんって<br>おでぶちゃんで<br>かわいーよねっ！,베스쨩은<br>뚱보인데도 귀여워！
もうっ！！<br>ヴァイトはほんとに<br>しつれーなんだから！,정말！！<br>바이트는 정말로<br>예의가 없다니까！
メドヴェキアのふるーつは、えいよーがないんだよねぇー……,메드베키아의 과일은<br>영양이 없나봐……
お外の世界って、<br>とっても<br>明るいんだねー！,"바깥 세계는,<br>엄청 밝구나！"
ベスに竜の実を与えるには<br>「第*話 覚醒」を<br>クリアする必要があります。,베스에게 용의 열매를 주려면<br>「제*화 각성」을 클리어해야 합니다
竜の実は「第*話 覚醒」の<br>初回クリア報酬として獲得できます。,용의 열매는 「제*화  각성」의<br>초회 클리어 보상으로 획득할 수 있습니다
竜の実をあげて<br>ベスを元気にしよう！,용의 열매를 주고<br>베스의 건강을 되찾아 주자！



「ロボミ」へ,「로보미」로
ロボミがパーティに加入しました！<br>                キャラクターがルリアノートに<br>登録されました！,로보미가 파티에 가입했습니다！<br>                캐릭터가 루리아 노트에<br>등록되었습니다！
空の世界に突如として現れた謎の生物群、壊獣。その脅威に立ち向かうのは若き機械技師シロウと、彼が偶然に出会った古代兵器ロボミ。悠久の時の果て、流れた涙の意味とは。
サイドストーリー「ロボミ」で手に入ります,사이드 스토리 「로보미」에서 획득할 수 있습니다

ギーク,끼익
獲得条件：「ロボミ」貢献度******達成,획득조건：「로보미」 공헌도 ****** 달성

小さな英雄,작은 영웅
獲得条件：「ロボミ」ストーリーを*話までクリア,획득조건：「로보미」 스토리 *화를 클리어

さらばロボミ,안녕 로보미

これは……涙？,이건……눈물？
獲得条件：フリークエスト「閃光壊獣キングマーバを討て！」をクリア,획득조건：프리 퀘스트 「섬광괴수 킹 마바를 해치워라！」를 클리어

壊獣バスター,괴수 버스터
獲得条件：「ロボミ」のフリークエストでキングマーバとゾゴラを合計*体討伐,획득조건：「로보미」의 프리 퀘스트에서 킹 마바와 조고라를 합계 *체 토벌

グラブル防衛軍,그랑블루 방위군
獲得条件：フリークエスト「覇壊獣ゾゴラを討て！」をクリア,획득조건：프리 퀘스트 「패괴수 조고라를 해치워라！」를 클리어
羅生門研究部員,라쇼몬 연구부원
エンシェントヒーロー,에이션트 히어로
獲得条件<br>「ロボミ」貢献度******達成,획득조건<br>「로보미」 공헌도 ****** 달성
獲得条件<br>「ロボミ」貢献度*******達成,획득조건<br>「로보미」 공헌도 ******* 달성
獲得条件<br>「ロボミ」ストーリーを*話までクリア,획득조건<br>「로보미」 스토리 *화를 클리어
獲得条件<br>フリークエスト「閃光壊獣キングマーバを討て！」をクリア,획득조건<br>프리 퀘스트 「섬광괴수 킹 마바를 해치워라！」를 클리어
壊獣スレイヤー,괴수 슬레이어
壊獣ジェノサイダー,괴수 제노사이더
獲得条件<br>「ロボミ」のフリークエストでキングマーバとゾゴラを合計*体討伐,획득조건<br>「로보미」의 프리 퀘스트에서 킹 마바와 조고라를<br>합계 *체 토벌
獲得条件<br>「ロボミ」のフリークエストでキングマーバとゾゴラを合計**体討伐,획득조건<br>「로보미」의 프리 퀘스트에서 킹 마바와 조고라를<br>합계 **체 토벌
獲得条件<br>「ロボミ」のフリークエストでキングマーバとゾゴラを合計***体討伐,획득조건<br>「로보미」의 프리 퀘스트에서 킹 마바와 조고라를<br>합계 ***체 토벌
獲得条件<br>フリークエスト「覇壊獣ゾゴラを討て！」をクリア,획득조건<br>프리 퀘스트 「패괴수 조고라를 해치워라！」를 클리어

「届かないほど、近くのあなたへ」へ,「닿지 않을만큼 가까운 당신에게」로
モンタギューとキャピュレット。いがみ合う国同士に生まれ落ちた男女は、運命の出会いを果たす。ふたつの視線が重なる時、両国の命運をかけた恋物語が幕を開ける──
サイドストーリー「届かないほど、近くのあなたへ」で手に入ります,사이드 스토리 「닿지 않을만큼 가까운 당신에게」에서 획득할 수 있습니다

どうしてあなたはロミオなの？,어째서 당신은 로미오인가요？
獲得条件：「届かないほど、近くのあなたへ」貢献度******達成,획득조건：「닿지 않을만큼 가까운 당신에게」 공헌도 ****** 달성

運命の出会い,운명의 만남
獲得条件：「届かないほど、近くのあなたへ」ストーリーを*話までクリア,획득조건：「닿지 않을만큼 가까운 당신에게」 스토리 *화를 클리어


終わりよければ全てよし,끝이 좋으면 다 좋아
獲得条件：チャレンジクエスト”永遠の一瞬”をクリア,획득조건：챌린지 퀘스트 ”영원한 순간”을 클리어

オクシモロンバスター,옥시모론 버스터
獲得条件：フリークエスト「陰陽の精討伐戦」と「オクシモロン討伐戦」を合計*回クリア,획득조건：프리 퀘스트 「음양의 정기 토벌전」과 「옥시모론 토벌전」을 합계 *회 클리어

生きるべきか死ぬべきか,살 것인가 죽을 것인가
獲得条件：フリークエスト「オクシモロン討伐戦」をクリア,획득조건：프리 퀘스트 「옥시모론 토벌전」을 클리어
いっそ君の小鳥になりたい,차라리 너의 작은 새가 되고싶어
ほどほどに愛しなさい,적당히 사랑하세요
獲得条件<br>「届かないほど、近くのあなたへ」貢献度******達成,획득조건<br>「닿지 않을만큼 가까운 당신에게」 공헌도 ****** 달성
獲得条件<br>「届かないほど、近くのあなたへ」貢献度*******達成,획득조건<br>「닿지 않을만큼 가까운 당신에게」 공헌도 *******<br>달성
獲得条件<br>「届かないほど、近くのあなたへ」ストーリーを*話までクリア,획득조건<br>「닿지 않을만큼 가까운 당신에게」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト”永遠の一瞬”をクリア,획득조건<br>챌린지 퀘스트 ”영원한 순간”을 클리어
オクシモロンスレイヤー,옥시모론 슬레이어
オクシモロンジェノサイダー,옥시모론 제노사이더
獲得条件<br>フリークエスト「陰陽の精討伐戦」と「オクシモロン討伐戦」を合計*回クリア,획득조건<br>프리 퀘스트 「음양의 정기 토벌전」과<br>「옥시모론 토벌전」을 합계 *회 클리어
獲得条件<br>フリークエスト「陰陽の精討伐戦」と「オクシモロン討伐戦」を合計**回クリア,획득조건<br>프리 퀘스트 「음양의 정기 토벌전」과<br>「옥시모론 토벌전」을 합계 **회 클리어
獲得条件<br>フリークエスト「陰陽の精討伐戦」と「オクシモロン討伐戦」を合計***回クリア,획득조건<br>프리 퀘스트 「음양의 정기 토벌전」과<br>「옥시모론 토벌전」을 합계  ***회 클리어
獲得条件<br>フリークエスト「オクシモロン討伐戦」をクリア,획득조건<br>프리 퀘스트 「옥시모론 토벌전」을 클리어

「昏き島に眠る光の巨人」へ,「어둑한 섬에 잠든 빛의 거인」으로
メネア皇国では、ゴブリン族との戦争が起きようとしていた。ゴブリン族が巣食う昏き島に星晶獣が眠ると知った一行は、ゴブリン討伐隊に加わるのだった。
サイドストーリー「昏き島に眠る光の巨人」で手に入ります,사이드 스토리 「어둑한 섬에 잠든 빛의 거인」에서 획득할 수 있습니다

獲得条件：「昏き島に眠る光の巨人」貢献度******達成,획득조건：「어둑한 섬에 잠든 빛의 거인」 공헌도 ****** 달성

無限の狂気に踊る首,무한한 광기에 사로잡힌
獲得条件：「昏き島に眠る光の巨人」ストーリーを*話までクリア,획득조건：「어둑한 섬에 잠든 빛의 거인」 스토리 *화를 클리어

復讐の結末,복수의 결말

いつかまた地獄で会おう,언젠가 다시 지옥에서 만나자
獲得条件：チャレンジクエスト「待ち望んだ決戦」をクリア,획득조건：챌린지 퀘스트 「염원하던 결전」을 클리어

フィーねーちゃんは強いゴブ！,피네쨩은 강해고브！
獲得条件：チャレンジクエスト「絶対に負けないゴブ！」をクリア,획득조건：챌린지 퀘스트 「절대로 안질거야고브！」를 클리어

闇に紛れて,어둠에 뒤섞인
獲得条件：「昏き島に眠る光の巨人」のフリークエストでヒドラとヘカトンケイルを合計*体討伐,획득조건：「어둑한 섬에 잠든 빛의 거인」의 프리 퀘스트에서 히드라와 헤카톤케일을 합계 *체 토벌

テッタイジャー！,후퇴다！
獲得条件：フリークエスト「ヘカトンケイル討伐戦」をクリア,획득조건：프리 퀘스트 「헤카톤케일 토벌전」을 클리어
……グギャ,……그갹
イケイケドンドン,힘내서 가자가자
獲得条件<br>「昏き島に眠る光の巨人」貢献度******達成,획득조건<br>「어둑한 섬에 잠든 빛의 거인」 공헌도 ****** 달성
獲得条件<br>「昏き島に眠る光の巨人」貢献度*******達成,획득조건<br>「어둑한 섬에 잠든 빛의 거인」 공헌도 ******* 달성
獲得条件<br>「昏き島に眠る光の巨人」ストーリーを*話までクリア,획득조건<br>「어둑한 섬에 잠든 빛의 거인」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト「待ち望んだ決戦」をクリア,획득조건<br>챌린지 퀘스트 「염원하던 결전」을 클리어
獲得条件<br>チャレンジクエスト「絶対に負けないゴブ！」をクリア,획득조건<br>챌린지 퀘스트 「절대로 안질거야고브！」를 클리어
***%おじさん,***% 아저씨
獲得条件<br>「昏き島に眠る光の巨人」のフリークエストでヒドラとヘカトンケイルを合計*体討伐,획득조건<br>「어둑한 섬에 잠든 빛의 거인」의 프리 퀘스트에서<br>히드라와 헤카톤케일을 합계 *체 토벌
獲得条件<br>「昏き島に眠る光の巨人」のフリークエストでヒドラとヘカトンケイルを合計**体討伐,획득조건<br>「어둑한 섬에 잠든 빛의 거인」의 프리 퀘스트에서<br>히드라와 헤카톤케일을 합계 **체 토벌
獲得条件<br>「昏き島に眠る光の巨人」のフリークエストでヒドラとヘカトンケイルを合計***体討伐,획득조건<br>「어둑한 섬에 잠든 빛의 거인」의 프리 퀘스트에서<br>히드라와 헤카톤케일을 합계 ***체 토벌
獲得条件<br>フリークエスト「ヘカトンケイル討伐戦」をクリア,획득조건<br>프리 퀘스트 「헤카톤케일 토벌전」을 클리어

「リペイント・ザ・メモリー」へ,「리페인트 더 메모리」로
父親の残した手紙に導かれ、空の果てへと旅立とうとするぴにゃ。しかし、時を同じくして村には戦艦が現れ、謎の少女が助けを求めてくる。ふたりの出会いは悲劇を生み──
サイドストーリー「リペイント・ザ・メモリー」で手に入ります,사이드 스토리 「리페인트 더 메모리」에서 획득할 수 있습니다

悪夢を克服せし者,악몽을 극복한 자
獲得条件：夢閉錠を累計で***個入手,획득조건：꿈을 가두는 자물쇠를 누계 ***개 획득

仲間の夢を守りし者,동료의 꿈을 지킨 자
獲得条件：夢の欠片を累計で***個入手,획득조건：꿈의 파편을 누계 ***개 획득

悪夢に囚われし者,악몽에 사로잡힌 자
獲得条件：「リペイント・ザ・メモリー」貢献度******達成,획득조건：「리페인트 더 메모리」 공헌도 ****** 달성

夢の守護者を討ちし者,꿈의 수호자를 쓰러트린 자
獲得条件：「リペイント・ザ・メモリー」ストーリーを*話までクリア,획득조건：「리페인트 더 메모리」 스토리 *화를 클리어

悪夢を打ち払いし者,악몽을 떨쳐버린 자

夢を操りし者,꿈을 조종하는 자
獲得条件：フリークエスト「イケロス討伐戦」をクリア,획득조건：프리 퀘스트 「이켈로스 토벌전」을 클리어

おやすみなさい,잘 자요
獲得条件：「リペイント・ザ・メモリー」のフリークエストでイケロスとオネイロスを合計*体討伐,획득조건：「리페인트 더 메모리」의 프리 퀘스트에서 이켈로스와 오네이로스를 합계 *체 토벌

もう、ひとりぼっちじゃない,"더는, 혼자가 아니야"
獲得条件：フリークエスト「オネイロスとの戦い」をクリア,획득조건：프리 퀘스트 「오네이로스와의 싸움」을 클리어
獲得条件<br>夢閉錠を累計で***個入手,획득조건<br>꿈을 가두는 자물쇠를 누계 ***개 획득
獲得条件<br>夢の欠片を累計で***個入手,획득조건<br>꿈의 파편을 누계 ***개 획득
夢の冒険者,꿈의 모험가
獲得条件<br>「リペイント・ザ・メモリー」貢献度******達成,획득조건<br>「리페인트 더 메모리」 공헌도 ****** 달성
獲得条件<br>「リペイント・ザ・メモリー」貢献度*******達成,획득조건<br>「리페인트 더 메모리」 공헌도 ******* 달성
獲得条件<br>「リペイント・ザ・メモリー」ストーリーを*話までクリア,획득조건<br>「리페인트 더 메모리」 스토리 *화를 클리어
獲得条件<br>フリークエスト「イケロス討伐戦」をクリア,획득조건<br>프리 퀘스트 「이켈로스 토벌전」을 클리어
ドリームブレイカー,드림 브레이커
一緒にお昼寝しない？,같이 낮잠 잘래？
獲得条件<br>「リペイント・ザ・メモリー」のフリークエストでイケロスとオネイロスを合計*体討伐,획득조건<br>「리페인트 더 메모리」의 프리 퀘스트에서 이켈로스와<br>오네이로스를 합계 *체 토벌
獲得条件<br>「リペイント・ザ・メモリー」のフリークエストでイケロスとオネイロスを合計**体討伐,획득조건<br>「리페인트 더 메모리」의 프리 퀘스트에서 이켈로스와<br>오네이로스를 합계 **체 토벌
獲得条件<br>「リペイント・ザ・メモリー」のフリークエストでイケロスとオネイロスを合計***体討伐,획득조건<br>「리페인트 더 메모리」의 프리 퀘스트에서 이켈로스와<br>오네이로스를 합계 ***체 토벌
獲得条件<br>フリークエスト「オネイロスとの戦い」をクリア,획득조건<br>프리 퀘스트 「오네이로스와의 싸움」을 클리어

"夢見の書<div class=""ico-weapon-*""></div>","꿈의 책<div class=""ico-weapon-*""></div>"
夢見の書,꿈의 책
"夢見の書（Lv***）<div class=""ico-weapon-*""></div>","꿈의 책（Lv ***）<div class=""ico-weapon-*""></div>"
夢見の書（Lv***）,꿈의 책（Lv ***）
奥義：シーイング・レコード,오의：시잉 레코드

スキル：霧氷の攻刃,스킬：무빙의 공인

「舞い歌う五花」へ,「춤추며 노래하는 다섯송이의 꽃」으로
とある島で古の時代より続く儀式があった。巫女達が島を巡り、不思議な呪文を唱えて祭壇で舞い歌う。その由来は時に埋もれたがひとつの事件をきっかけに紐解かれていく。
サイドストーリー「舞い歌う五花」で手に入ります,사이드 스토리 「춤추며 노래하는 다섯송이의 꽃」에서 획득할 수 있습니다

ウオオーッ！　ハイ！,우오옷！　하잇！
獲得条件：忘却の信仰心を累計で***個入手,획득조건：망각의 신앙심을 누계 ***개 획득

忘れないでいて欲しい,잊지 말아줘
獲得条件：絆の信仰心を累計で***個入手,획득조건：인연의 신앙심을 누계 ***개 획득

見物人,구경꾼
獲得条件：「舞い歌う五花」貢献度******達成,획득조건：「춤추며 노래하는 다섯송이의 꽃」 공헌도 ****** 달성

受け継がれた伝統,계승된 전통
獲得条件：「舞い歌う五花」ストーリーを*話までクリア,획득조건：「춤추며 노래하는 다섯송이의 꽃」 스토리 *화를 클리어

ティクニウトリ・ショロトル,티크니우틀리・숄로틀

ディアンサ派,디안사 파
獲得条件：召喚石「ディアンサ」を獲得する,획득조건：소환석 「디안사」를 획득한다

リナリア派,리나리아 파
獲得条件：召喚石「リナリア」を獲得する,획득조건：소환석 「리나리아」를 획득한다

ハリエ派,하리에 파
獲得条件：召喚石「ハリエ」を獲得する,획득조건：소환석 「하리에」를 획득한다

カンナ派,칸나 파
獲得条件：召喚石「カンナ」を獲得する,획득조건：소환석 「칸나」를 획득한다

ジオラ派,디오라 파
獲得条件：召喚石「ジオラ」を獲得する,획득조건：소환석 「디오라」를 획득한다

歌って踊ろう！,노래하고 춤추자！
獲得条件：「舞い歌う五花」のフリークエストで先史の遺像とショロトルを合計*体討伐,획득조건：「춤추며 노래하는 다섯송이의 꽃」의 프리 퀘스트에서 선사의 유상과 숄로틀을 합계 *체 토벌
獲得条件<br>忘却の信仰心を累計で***個入手,획득조건<br>망각의 신앙심을 누계 ***개 획득
獲得条件<br>絆の信仰心を累計で***個入手,획득조건<br>인연의 신앙심을 누계 ***개 획득
イクニアさん,이크니아씨
巫女様親衛隊,무녀님 친위대
獲得条件<br>「舞い歌う五花」貢献度******達成,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」 공헌도 ****** 달성
獲得条件<br>「舞い歌う五花」貢献度*******達成,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」 공헌도 *******<br>달성
獲得条件<br>「舞い歌う五花」ストーリーを*話までクリア,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」 스토리 *화를 클리어
獲得条件<br>召喚石「ディアンサ」を獲得する,획득조건<br>소환석 「디안사」를 획득한다
獲得条件<br>召喚石「リナリア」を獲得する,획득조건<br>소환석 「리나리아」를 획득한다
獲得条件<br>召喚石「ハリエ」を獲得する,획득조건<br>소환석 「하리에」를 획득한다
獲得条件<br>召喚石「カンナ」を獲得する,획득조건<br>소환석 「칸나」를 획득한다
獲得条件<br>召喚石「ジオラ」を獲得する,획득조건<br>소환석 「디오라」를 획득한다
ショロトルの語り部,숄로틀의 이야기꾼
因果の鎖を裁断せし力,인과의 사슬을 재단하는 힘
獲得条件<br>「舞い歌う五花」のフリークエストで先史の遺像とショロトルを合計*体討伐,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」의 프리 퀘스트에서<br>선사의 유상과 숄로틀을 합계 *체 토벌
獲得条件<br>「舞い歌う五花」のフリークエストで先史の遺像とショロトルを合計**体討伐,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」의 프리 퀘스트에서<br>선사의 유상과 숄로틀을 합계 **체 토벌
獲得条件<br>「舞い歌う五花」のフリークエストで先史の遺像とショロトルを合計***体討伐,획득조건<br>「춤추며 노래하는 다섯송이의 꽃」의 프리 퀘스트에서<br>선사의 유상과 숄로틀을 합계 ***체 토벌

みんな友達,모두 친구
獲得条件：フリークエスト「先史の遺像討伐戦」をクリア,획득조건：프리 퀘스트 「선사의 유상 토벌전」을 클리어

いつもありがとう,언제나 고마워
獲得条件：フリークエスト「ショロトル討伐戦」をクリア,획득조건：프리 퀘스트 「숄로틀 토벌전」을 클리어
獲得条件<br>フリークエスト「先史の遺像討伐戦」をクリア,획득조건<br>프리 퀘스트 「선사의 유상 토벌전」을 클리어
獲得条件<br>フリークエスト「ショロトル討伐戦」をクリア,획득조건<br>프리 퀘스트 「숄로틀 토벌전」을 클리어

「蛇神の島に響く歌」へ,「뱀신의 섬에서 울리는 노래」로
星晶獣ミドガルズオルムが目覚め、危機が迫るフィディ島。そんな中、ぴにゃ一行は老騎空士キハール・吟遊詩人エルタ・演奏家セレフィラと出会って──
サイドストーリー「蛇神の島に響く歌」で手に入ります,사이드 스토리 「뱀신의 섬에서 울리는 노래」에서 획득할 수 있습니다

獲得条件：「蛇神の島に響く歌」貢献度******達成,획득조건：「뱀신의 섬에서 울리는 노래」 공헌도 ****** 달성

狸寝入り,잠든 척하는
獲得条件：「蛇神の島に響く歌」ストーリーを*話までクリア,획득조건：「뱀신의 섬에서 울리는 노래」 스토리 *화를 클리어

夢の世界へ,꿈의 세계로

ミドガルズオルムバスター,미드가르즈오름 버스터
獲得条件：「蛇神の島に響く歌」のフリークエストでミドガルズオルムを*体討伐,획득조건：「뱀신의 섬에서 울리는 노래」의 프리 퀘스트에서 미드가르즈오름을 *체 토벌

騎空艇落とし,기공정 떨구기
獲得条件：フリークエスト「ミドガルズオルム討伐戦」をクリア,획득조건：프리 퀘스트 「미드가르즈오름 토벌전」을 클리어
蛇使い,뱀술사
伝説の吟遊騎空団,전설의 음유기공단
獲得条件<br>「蛇神の島に響く歌」貢献度******達成,획득조건<br>「뱀신의 섬에서 울리는 노래」 공헌도 ****** 달성
獲得条件<br>「蛇神の島に響く歌」貢献度*******達成,획득조건<br>「뱀신의 섬에서 울리는 노래」 공헌도 ******* 달성
獲得条件<br>「蛇神の島に響く歌」ストーリーを*話までクリア,획득조건<br>「뱀신의 섬에서 울리는 노래」 스토리 *화를 클리어
ミドガルズオルムスレイヤー,미드가르즈오름 슬레이어
ミドガルズオルムジェノサイダー,미드가르즈오름 제노사이더
獲得条件<br>「蛇神の島に響く歌」のフリークエストでミドガルズオルムを*体討伐,획득조건<br>「뱀신의 섬에서 울리는 노래」의 프리 퀘스트에서<br>미드가르즈오름을 *체 토벌
獲得条件<br>「蛇神の島に響く歌」のフリークエストでミドガルズオルムを**体討伐,획득조건<br>「뱀신의 섬에서 울리는 노래」의 프리 퀘스트에서<br>미드가르즈오름을 **체 토벌
獲得条件<br>「蛇神の島に響く歌」のフリークエストでミドガルズオルムを***体討伐,획득조건<br>「뱀신의 섬에서 울리는 노래」의 프리 퀘스트에서<br>미드가르즈오름을 ***체 토벌
獲得条件<br>フリークエスト「ミドガルズオルム討伐戦」をクリア,획득조건<br>프리 퀘스트 「미드가르즈오름 토벌전」을 클리어

「神立、笠雲の合間に閃きて」へ,"「뇌명, 삿갓구름 사이에서 번쩍이고」로"
レヴィオン王国の王を殺害し逃亡した罪人を討たんと、その足取りを追う王国騎士団団長アルベール。しかし、その道程で“レヴィオン王国存亡の危機”との急報が届く。
サイドストーリー「神立、笠雲の合間に閃きて」で手に入ります,"사이드 스토리 「뇌명, 삿갓구름 사이에서 번쩍이고」에서 획득할 수 있습니다"

真にこの国を憂う者,진정으로 이 나라를 걱정하는 자
獲得条件：レヴィオンブラックオパールを累計で***個入手,획득조건：레비온 블랙 오팔을 누계 ***개 획득

我が親友殿,나의 친우
獲得条件：「神立、笠雲の合間に閃きて」貢献度******達成,"획득조건：「뇌명, 삿갓구름 사이에서 번쩍이고」 공헌도 ****** 달성"

星の眼,별의 눈
獲得条件：「神立、笠雲の合間に閃きて」ストーリーを*話までクリア,"획득조건：「뇌명, 삿갓구름 사이에서 번쩍이고」 스토리 *화를 클리어"

そして新しい一歩を踏み出すんだ,그리고 새로운 걸음을 내딛는 거야

弱音を吐くなっ！,나약한 소리 하지마！
獲得条件：「神立、笠雲の合間に閃きて」のフリークエストで星の眼とキマイラ・ユリウスを合計*体討伐,"획득조건：「뇌명, 삿갓구름 사이에서 번쩍이고」의 프리 퀘스트에서 별의 눈과 키메라・율리우스를 합계 *체 토벌"

ニュルニュルおじさん,삐쭉삐죽 아저씨
獲得条件：フリークエスト「星の眼討伐戦」をクリア,획득조건：프리 퀘스트 「별의 눈 토벌전」을 클리어

頼りになる対策本部室長様,의지할 수 있는 대책본부 실장님
獲得条件：フリークエスト「キマイラ・ユリウスとの戦い」をクリア,획득조건：프리 퀘스트 「키메라・율리우스와의 싸움」을 클리어
獲得条件<br>レヴィオンブラックオパールを累計で***個入手,획득조건<br>레비온 블랙 오팔을 누계 ***개 획득
レヴィオン王国騎士団,레비온 왕국 기사단
我らに正義と栄光あれ！,우리에게 정의와 영광이 있으리！
獲得条件<br>「神立、笠雲の合間に閃きて」貢献度******達成,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」 공헌도 ******<br>달성"
獲得条件<br>「神立、笠雲の合間に閃きて」貢献度*******達成,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」 공헌도 ******* 달성"
獲得条件<br>「神立、笠雲の合間に閃きて」ストーリーを*話までクリア,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」 스토리 *화를<br>클리어"
本日のビリビリ指数０！,오늘의 찌릿찌릿 지수는０！
……元気出せ？,……힘내？
獲得条件<br>「神立、笠雲の合間に閃きて」のフリークエストで星の眼とキマイラ・ユリウスを合計*体討伐,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」의 프리 퀘스트에서 별의 눈과 키메라・율리우스를 합계 *체 토벌"
獲得条件<br>「神立、笠雲の合間に閃きて」のフリークエストで星の眼とキマイラ・ユリウスを合計**体討伐,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」의 프리 퀘스트에서 별의 눈과 키메라・율리우스를 합계 **체 토벌"
獲得条件<br>「神立、笠雲の合間に閃きて」のフリークエストで星の眼とキマイラ・ユリウスを合計***体討伐,"획득조건<br>「뇌명, 삿갓구름 사이에서 번쩍이고」의 프리 퀘스트에서 별의 눈과 키메라・율리우스를 합계 ***체 토벌"
獲得条件<br>フリークエスト「星の眼討伐戦」をクリア,획드조건<br>프리 퀘스트 「별의 눈 토벌전」을 클리어
獲得条件<br>フリークエスト「キマイラ・ユリウスとの戦い」をクリア,획득조건<br>프리 퀘스트 「키메라・율리우스와의 싸움」을 클리어

「俺達のレンジャーサイン！」へ,「우리들의 레인저 사인！」으로
『森の島』で正体不明の怪物が出現した──知らせを受けたウェルダーは、故郷を守るため駆けつける。しかし、そこで待ち受けていたのは、五百年前に呪われた運命だった。
サイドストーリー「俺達のレンジャーサイン！」で手に入ります,사이드 스토리 「우리들의 레인저 사인！」에서 획득할 수 있습니다

小さきレンジャー,자그마한 레인저
獲得条件：木の棒を累計で***個入手,획득조건：나뭇가지를 누계 ***개 획득

初めてのレンジャーポーズ,첫 레인저 포즈
獲得条件：思い出の石版を累計で***個入手,획득조건：추억의 석판을 누계 ***개 획득

ひよっこレンジャー,애송이 레인저
獲得条件：「俺達のレンジャーサイン！」貢献度******達成,획득조건：「우리들의 레인저 사인！」 공헌도 ****** 달성

人と獣の絆は有り得ねぇ！,사람과 짐승의 인연은 있을 수 없다！
獲得条件：「俺達のレンジャーサイン！」ストーリーを*話までクリア,획득조건：「우리들의 레인저 사인！」 스토리 *화를 클리어

ここで……バイバイなんだよ,이제……작별이야

……フッ、決まった,"……훗, 끝났군"
獲得条件：「俺達のレンジャーサイン！」のフリークエストでフェンリルとジェイドを合計*体討伐,획득조건：「우리들의 레인저 사인！」의 프리 퀘스트에서 펜릴과 제이드를 합계 *체 토벌

いつか、一緒に世界を見よう,"언젠가, 함께 세계를 보러가자"
獲得条件：フリークエスト「フェンリルとの戦い」をクリア,획득조건：프리 퀘스트 「펜릴과의 싸움」을 클리어

また伝説が増えてしまった……,또 하나 전설이 늘어버렸군……
獲得条件：フリークエスト「ジェイドとの戦い」をクリア,획득조건：프리 퀘스트 「제이드와의 싸움」을 클리어
獲得条件<br>木の棒を累計で***個入手,획득조건<br>나뭇가지를 누계 ***개 획득
